,Iteration,Classifier,AUC,Precision,Recall
36,9,SVC_rec,0.826984126984127,0.6666666666666666,0.9714285714285714
37,9,SVC_prec,0.888888888888889,0.896551724137931,0.7428571428571429
38,9,RF,0.8333333333333333,0.8378378378378378,0.8857142857142857
39,9,Dummy,0.5214285714285714,0.6571428571428571,0.6571428571428571
40,10,SVC_rec,0.8253968253968254,0.6538461538461539,0.9714285714285714
41,10,SVC_prec,0.8761904761904761,1.0,0.6571428571428571
42,10,RF,0.8444444444444444,0.8125,0.7428571428571429
43,10,Dummy,0.5365079365079365,0.625,0.5714285714285714
44,11,SVC_rec,0.7142857142857143,0.6538461538461539,0.9714285714285714
45,11,SVC_prec,0.7634920634920634,0.8214285714285714,0.6571428571428571
46,11,RF,0.7396825396825397,0.7837837837837838,0.8285714285714286
47,11,Dummy,0.5222222222222223,0.59375,0.5428571428571428
48,12,SVC_rec,0.7920634920634921,0.66,0.9428571428571428
49,12,SVC_prec,0.8698412698412699,0.9285714285714286,0.7428571428571429
50,12,RF,0.8238095238095238,0.8484848484848485,0.8
51,12,Dummy,0.6071428571428572,0.6153846153846154,0.45714285714285713
52,13,SVC_rec,0.7587301587301587,0.66,0.9428571428571428
53,13,SVC_prec,0.9063492063492062,0.9615384615384616,0.7142857142857143
54,13,RF,0.8190476190476191,0.8,0.8
55,13,Dummy,0.4666666666666667,0.6944444444444444,0.7142857142857143
56,14,SVC_rec,0.8396825396825396,0.6730769230769231,1.0
57,14,SVC_prec,0.915873015873016,0.9285714285714286,0.7428571428571429
58,14,RF,0.8619047619047618,0.8157894736842105,0.8857142857142857
59,14,Dummy,0.45396825396825397,0.6904761904761905,0.8285714285714286
60,15,SVC_rec,0.838095238095238,0.660377358490566,1.0
61,15,SVC_prec,0.8714285714285714,0.9259259259259259,0.7142857142857143
62,15,RF,0.880952380952381,0.8823529411764706,0.8571428571428571
63,15,Dummy,0.46746031746031746,0.6470588235294118,0.6285714285714286
64,16,SVC_rec,0.6857142857142857,0.64,0.9142857142857143
65,16,SVC_prec,0.7555555555555555,0.8636363636363636,0.5428571428571428
66,16,RF,0.7571428571428571,0.7941176470588235,0.7714285714285715
67,16,Dummy,0.5650793650793651,0.6666666666666666,0.5714285714285714
68,17,SVC_rec,0.8285714285714285,0.6862745098039216,1.0
69,17,SVC_prec,0.8492063492063492,0.9230769230769231,0.6857142857142857
70,17,RF,0.8587301587301587,0.8529411764705882,0.8285714285714286
71,17,Dummy,0.5650793650793651,0.6176470588235294,0.6
72,18,SVC_rec,0.719047619047619,0.6538461538461539,0.9714285714285714
73,18,SVC_prec,0.8492063492063491,0.9545454545454546,0.6
74,18,RF,0.8,0.7777777777777778,0.8
75,18,Dummy,0.5373015873015873,0.6857142857142857,0.6857142857142857
76,19,SVC_rec,0.7888888888888889,0.660377358490566,1.0
77,19,SVC_prec,0.9650793650793651,0.96,0.6857142857142857
78,19,RF,0.9047619047619048,0.8378378378378378,0.8857142857142857
79,19,Dummy,0.5230158730158729,0.6875,0.6285714285714286
80,20,SVC_rec,0.9126984126984127,0.7,1.0
81,20,SVC_prec,0.9936507936507937,1.0,0.8
82,20,RF,0.9777777777777777,0.8888888888888888,0.9142857142857143
83,20,Dummy,0.49603174603174605,0.6756756756756757,0.7142857142857143
84,21,SVC_rec,0.746031746031746,0.66,0.9428571428571428
85,21,SVC_prec,0.8555555555555555,1.0,0.6
86,21,RF,0.834920634920635,0.8620689655172413,0.7142857142857143
87,21,Dummy,0.4666666666666667,0.6333333333333333,0.5428571428571428
88,22,SVC_rec,0.7285714285714285,0.66,0.9428571428571428
89,22,SVC_prec,0.8222222222222222,0.9565217391304348,0.6285714285714286
90,22,RF,0.834920634920635,0.8235294117647058,0.8
91,22,Dummy,0.5642857142857143,0.7241379310344828,0.6
92,23,SVC_rec,0.8698412698412699,0.6862745098039216,1.0
