Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.40476190476190466,-0.15210084033613447,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4087301587301587,-0.23262032085561501,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.5079365079365079,-0.2222222222222222,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.19920634920634928,-0.14426523297491045,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3587301587301587,-0.12737799834574026,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.5349206349206349,-0.19529206625980822,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3230158730158729,-0.13570487483530957,0.11428571428571421,Dummy-RF
<built-in function iter>,-0.44444444444444436,-0.17421602787456436,0.11428571428571432,Dummy-RF
<built-in function iter>,-0.369047619047619,-0.15622940013183917,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.373015873015873,-0.14912280701754388,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.4182539682539683,-0.21082621082621078,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.23412698412698413,-0.1267942583732058,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.21349206349206362,-0.09172932330827077,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.2666666666666665,-0.17229729729729726,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.36666666666666675,-0.23578947368421055,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4246031746031746,-0.24603174603174593,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.3325396825396825,-0.17597597597597603,-0.028571428571428692,Dummy-RF
<built-in function iter>,-0.38888888888888884,-0.2014260249554367,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.33412698412698416,-0.12643678160919547,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4619047619047618,-0.218266253869969,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.38730158730158737,-0.1406025824964131,0.0,Dummy-RF
<built-in function iter>,-0.30555555555555547,-0.2895622895622897,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.41666666666666663,-0.24346405228758172,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.20079365079365086,-0.14261460101867574,0.0,Dummy-RF
<built-in function iter>,-0.3285714285714285,-0.13786764705882348,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.2658730158730157,-0.0982236154649947,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4103174603174603,-0.21657754010695185,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.39682539682539697,-0.06818181818181823,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3587301587301587,-0.283975659229209,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3944444444444445,-0.21578947368421053,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3928571428571429,-0.1386554621848739,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.43968253968253973,-0.20598006644518263,0.11428571428571432,Dummy-RF
<built-in function iter>,-0.22698412698412695,-0.11324786324786329,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.22539682539682543,-0.1470588235294117,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4031746031746031,-0.2304900181488203,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4603174603174602,-0.31746031746031744,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.45555555555555566,-0.1208267090620031,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.29761904761904756,-0.30113636363636365,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.47222222222222243,-0.1053639846743295,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.480952380952381,-0.19529206625980822,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.5230158730158732,-0.13157894736842124,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.3555555555555555,-0.21657754010695185,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.4547619047619048,-0.1922348484848485,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.30079365079365084,-0.22556390977443608,-0.17142857142857137,Dummy-RF
