Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.403968253968254,-0.09628378378378377,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.1793650793650794,-0.10130718954248363,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3269841269841267,-0.2321428571428571,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.2238095238095238,-0.10058139534883725,-0.05714285714285705,Dummy-RF
<built-in function iter>,-0.3468253968253968,-0.2213622291021673,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.4484126984126985,-0.24495967741935487,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.3817460317460317,-0.2561403508771931,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.35396825396825393,-0.09848484848484851,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.34761904761904766,-0.14173998044965785,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.31666666666666676,-0.13397129186602874,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.30714285714285716,-0.2282913165266106,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3960317460317459,-0.1351351351351351,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3460317460317461,-0.18333333333333335,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.22460317460317464,-0.13333333333333341,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.32619047619047625,-0.2640926640926641,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.33174603174603184,-0.21875,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.2587301587301587,-0.24688057040998213,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.3825396825396825,-0.1297348484848485,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.32619047619047625,-0.2749301025163092,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.48412698412698396,-0.23262032085561501,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.37777777777777777,-0.11669829222011385,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.30000000000000004,-0.2709677419354839,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.346031746031746,-0.20959595959595967,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3873015873015873,-0.0903225806451613,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3714285714285714,-0.18151260504201683,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.29841269841269835,-0.07979626485568758,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.20317460317460312,-0.05727554179566563,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3777777777777778,-0.18146718146718144,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.31507936507936507,-0.12813620071684595,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.3896825396825396,-0.23611111111111116,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.5095238095238095,-0.1785714285714286,0.0,Dummy-RF
<built-in function iter>,-0.23968253968253972,-0.10606060606060608,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.5198412698412698,-0.2502164502164502,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.35158730158730167,-0.078030303030303,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.3373015873015873,-0.4285714285714286,-0.37142857142857144,Dummy-RF
<built-in function iter>,-0.2396825396825396,-0.18156682027649773,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.20634920634920628,-0.11990950226244346,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.38730158730158737,-0.21241830065359468,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.2603174603174603,0.04887585532746819,0.0,Dummy-RF
<built-in function iter>,-0.1269841269841271,-0.21270161290322576,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.1507936507936508,-0.14375000000000004,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.33333333333333326,-0.12512315270935936,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.27936507936507926,-0.13888888888888895,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.34444444444444444,-0.18067226890756294,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.43888888888888883,-0.17647058823529405,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4325396825396826,-0.19166666666666665,0.02857142857142858,Dummy-RF
