,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
843,[-0.31228374],[-0.07352941],[-0.20588235],[-0.27249135],[-0.02565707],[-0.29411765],[-0.31228374],[-0.32352941],[-0.14705882],999
844,[-0.31487889],[-0.15873016],[-0.29411765],[-0.3183391],[-0.138322],[-0.41176471],[-0.30795848],[-0.44444444],[-0.11764706],999
845,[-0.47058824],[-0.12509653],[-0.17647059],[-0.41868512],[-0.06428571],[-0.26470588],[-0.46539792],[-0.31428571],[ 0.],999
846,[-0.51989619],[-0.11904762],[-0.32352941],[-0.4299308],[-0.04166667],[-0.35294118],[-0.4766436],[-0.33333333],[-0.02941176],999
847,[-0.44809689],[-0.13492063],[-0.29411765],[-0.4567474],[-0.07453416],[-0.44117647],[-0.47231834],[-0.35714286],[-0.20588235],999
848,[-0.37802768],[-0.05864662],[ 0.],[-0.36764706],[-0.04912281],[-0.20588235],[-0.38148789],[-0.31578947],[ 0.17647059],999
849,[-0.37370242],[-0.19605263],[-0.26470588],[-0.39792388],[-0.20676692],[-0.32352941],[-0.34256055],[-0.42105263],[ 0.],999
850,[-0.32525952],[-0.05920206],[-0.17647059],[-0.30795848],[-0.0472973],[-0.20588235],[-0.33044983],[-0.2972973],[ 0.05882353],999
851,[-0.28806228],[-0.09649123],[-0.20588235],[-0.26903114],[-0.08888889],[-0.35294118],[-0.28287197],[-0.33333333],[-0.14705882],999
852,[-0.35813149],[-0.01295732],[-0.20588235],[-0.42733564],[-0.02038043],[-0.32352941],[-0.38754325],[-0.28125],[-0.02941176],999
853,[-0.46799308],[ 0.07906977],[-0.20588235],[-0.46107266],[ 0.1125],[-0.26470588],[-0.47318339],[-0.2],[ 0.02941176],999
854,[-0.32612457],[-0.0506156],[-0.23529412],[-0.31228374],[-0.04681873],[-0.35294118],[-0.32093426],[-0.35294118],[-0.05882353],999
855,[-0.47145329],[-0.14487179],[-0.14705882],[-0.4766436],[-0.14069767],[-0.23529412],[-0.48183391],[-0.35],[ 0.02941176],999
856,[-0.41608997],[-0.09628378],[-0.20588235],[-0.3884083],[-0.0298913],[-0.32352941],[-0.4316609],[-0.3125],[ 0.],999
857,[-0.43771626],[-0.02543605],[-0.26470588],[-0.41522491],[-0.02038043],[-0.32352941],[-0.46193772],[-0.28125],[-0.05882353],999
858,[-0.40138408],[-0.07874564],[-0.20588235],[-0.3633218],[-0.08253968],[-0.29411765],[-0.43598616],[-0.37142857],[-0.08823529],999
859,[-0.43771626],[-0.09605911],[-0.38235294],[-0.42906574],[-0.03374908],[-0.41176471],[-0.44290657],[-0.31034483],[-0.26470588],999
860,[-0.41262976],[-0.03571429],[-0.26470588],[-0.4316609],[ 0.05612245],[-0.29411765],[-0.40397924],[-0.25],[-0.05882353],999
861,[-0.36418685],[-0.17647059],[-0.17647059],[-0.31401384],[-0.09712722],[-0.29411765],[-0.36591696],[-0.35294118],[ 0.02941176],999
862,[-0.53373702],[-0.15311005],[-0.26470588],[-0.55276817],[-0.1027668],[-0.38235294],[-0.53373702],[-0.36363636],[-0.17647059],999
863,[-0.46453287],[-0.16388889],[-0.26470588],[-0.47491349],[-0.14498645],[-0.26470588],[-0.4766436],[-0.38888889],[-0.08823529],999
864,[-0.40657439],[-0.1360671],[-0.29411765],[-0.37370242],[-0.11740558],[-0.38235294],[-0.40657439],[-0.37931034],[-0.20588235],999
865,[-0.32958478],[-0.09852941],[-0.23529412],[-0.36591696],[-0.07352941],[-0.29411765],[-0.36072664],[-0.32352941],[-0.08823529],999
866,[-0.46799308],[-0.15431034],[-0.38235294],[-0.43858131],[-0.1348659],[-0.47058824],[-0.45934256],[-0.37931034],[-0.14705882],999
867,[-0.40397924],[-0.06156156],[-0.08823529],[-0.42474048],[-0.02777778],[-0.20588235],[-0.42820069],[-0.27777778],[-0.02941176],999
868,[-0.51903114],[-0.13034188],[-0.20588235],[-0.51038062],[-0.11666667],[-0.32352941],[-0.51384083],[-0.36111111],[-0.02941176],999
869,[-0.5233564],[-0.12355212],[-0.17647059],[-0.55622837],[-0.01904762],[-0.23529412],[-0.57179931],[-0.28571429],[ 0.02941176],999
870,[-0.433391],[-0.22672673],[-0.26470588],[-0.42474048],[-0.16161616],[-0.35294118],[-0.44896194],[-0.38888889],[-0.05882353],999
871,[-0.23788927],[-0.02861685],[-0.08823529],[-0.2067474],[-0.00511509],[-0.23529412],[-0.24307958],[-0.35294118],[ 0.02941176],999
