,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
0,[-0.39619377],[-0.21160714],[-0.26470588],[-0.42387543],[-0.18303571],[-0.38235294],[-0.40311419],[-0.46875],[-0.14705882],999
1,[-0.42647059],[-0.12660028],[-0.11764706],[-0.41435986],[-0.03919373],[-0.23529412],[-0.39532872],[-0.31578947],[ 0.08823529],999
2,[-0.58737024],[-0.04418605],[-0.32352941],[-0.54411765],[ 0.0125],[-0.35294118],[-0.55968858],[-0.3],[-0.14705882],999
3,[-0.38581315],[-0.05263158],[-0.05882353],[-0.33044983],[-0.0430622],[-0.17647059],[-0.37716263],[-0.31578947],[ 0.02941176],999
4,[-0.23788927],[-0.0989547],[-0.23529412],[-0.21885813],[-0.08198758],[-0.32352941],[-0.22750865],[-0.34285714],[-0.08823529],999
5,[-0.48183391],[-0.22019078],[-0.29411765],[-0.49913495],[-0.19187675],[-0.38235294],[-0.50086505],[-0.38235294],[-0.05882353],999
6,[-0.46280277],[-0.15625],[-0.32352941],[-0.45242215],[-0.11458333],[-0.44117647],[-0.47145329],[-0.40625],[-0.20588235],999
7,[-0.31401384],[-0.08898944],[-0.20588235],[-0.30190311],[-0.06155951],[-0.26470588],[-0.32785467],[-0.29411765],[ 0.05882353],999
8,[-0.43425606],[-0.08028617],[-0.14705882],[-0.46020761],[-0.06265985],[-0.32352941],[-0.44982699],[-0.32352941],[ 0.],999
9,[-0.34342561],[-0.05128205],[-0.05882353],[-0.2932526],[-0.01880342],[-0.14705882],[-0.31401384],[-0.30769231],[ 0.14705882],999
10,[-0.39359862],[-0.09852941],[-0.23529412],[-0.3866782],[-0.07352941],[-0.29411765],[-0.41089965],[-0.32352941],[-0.11764706],999
11,[-0.35899654],[-0.21092437],[-0.23529412],[-0.33131488],[-0.10962567],[-0.32352941],[-0.39013841],[-0.38235294],[ 0.02941176],999
12,[-0.49913495],[-0.08351648],[-0.17647059],[-0.47491349],[-0.00178571],[-0.26470588],[-0.48875433],[-0.31428571],[ 0.],999
13,[-0.45934256],[-0.14920635],[-0.17647059],[-0.44550173],[-0.0923588],[-0.26470588],[-0.45934256],[-0.37142857],[-0.05882353],999
14,[-0.37110727],[-0.05714286],[-0.05882353],[-0.30709343],[-0.00310559],[-0.23529412],[-0.36937716],[-0.28571429],[ 0.11764706],999
15,[-0.37716263],[-0.125],[-0.14705882],[-0.3650519],[-0.03913043],[-0.17647059],[-0.37716263],[-0.3],[ 0.02941176],999
16,[-0.42560554],[-0.09703947],[-0.23529412],[-0.42387543],[-0.08612805],[-0.29411765],[-0.43252595],[-0.28125],[-0.11764706],999
17,[-0.41435986],[-0.09285714],[-0.20588235],[-0.40916955],[-0.07619048],[-0.29411765],[-0.43685121],[-0.34285714],[ 0.11764706],999
18,[-0.52249135],[ 0.02005013],[-0.05882353],[-0.51730104],[ 0.02302632],[-0.17647059],[-0.56747405],[-0.28947368],[ 0.02941176],999
19,[-0.47058824],[-0.16315789],[-0.32352941],[-0.46885813],[-0.17272727],[-0.47058824],[-0.48961938],[-0.4],[-0.17647059],999
20,[-0.41955017],[ 0.08371041],[-0.02941176],[-0.42474048],[ 0.0802139],[-0.14705882],[-0.42301038],[-0.14705882],[ 0.05882353],999
21,[-0.316609],[-0.11111111],[-0.05882353],[-0.32525952],[-0.10606061],[-0.23529412],[-0.33044983],[-0.33333333],[ 0.08823529],999
22,[-0.34429066],[-0.10609756],[-0.14705882],[-0.38408304],[-0.0673913],[-0.20588235],[-0.37889273],[-0.35],[ 0.08823529],999
23,[-0.49307958],[-0.22141561],[-0.41176471],[-0.49134948],[-0.11844078],[-0.47058824],[-0.48615917],[-0.37931034],[-0.29411765],999
24,[-0.48269896],[-0.11918605],[-0.35294118],[-0.52076125],[-0.09840426],[-0.41176471],[-0.52076125],[-0.375],[-0.20588235],999
25,[-0.30882353],[ 0.02279202],[-0.23529412],[-0.35899654],[ 0.02334944],[-0.38235294],[-0.3399654],[-0.25925926],[-0.05882353],999
26,[-0.36072664],[-0.13410853],[-0.41176471],[-0.35380623],[-0.08405797],[-0.41176471],[-0.37802768],[-0.36666667],[-0.20588235],999
27,[-0.48788927],[-0.04761905],[-0.20588235],[-0.47404844],[-0.00310559],[-0.23529412],[-0.48788927],[-0.28571429],[-0.08823529],999
28,[-0.49913495],[-0.1099865],[-0.14705882],[-0.48010381],[-0.01674641],[-0.14705882],[-0.48183391],[-0.28947368],[ 0.05882353],999
29,[-0.3633218],[-0.23589744],[-0.41176471],[-0.36678201],[-0.21085271],[-0.47058824],[-0.35986159],[-0.46666667],[-0.23529412],999
30,[-0.52076125],[-0.15971676],[-0.38235294],[-0.53114187],[-0.07824296],[-0.41176471],[-0.51557093],[-0.35483871],[-0.11764706],999
31,[-0.3650519],[-0.03306343],[-0.05882353],[-0.3200692],[ 0.02163743],[-0.11764706],[-0.34602076],[-0.28947368],[ 0.17647059],999
32,[-0.32439446],[ 0.08177905],[-0.05882353],[-0.31055363],[ 0.08385482],[-0.17647059],[-0.35207612],[-0.23529412],[ 0.05882353],999
33,[-0.47491349],[-0.18660287],[-0.08823529],[-0.46280277],[-0.1126071],[-0.23529412],[-0.46972318],[-0.36842105],[ 0.02941176],999
34,[-0.2733564],[-0.00645624],[-0.14705882],[-0.24567474],[-0.02565707],[-0.29411765],[-0.25605536],[-0.32352941],[-0.05882353],999
35,[-0.5017301],[-0.17708333],[-0.26470588],[-0.48615917],[-0.07708333],[-0.35294118],[-0.51384083],[-0.34375],[-0.17647059],999
36,[-0.32179931],[-0.09166667],[-0.29411765],[-0.33217993],[-0.07777778],[-0.38235294],[-0.31314879],[-0.36666667],[-0.02941176],999
37,[-0.12197232],[-0.08888889],[-0.17647059],[-0.0683391],[-0.0410628],[-0.23529412],[-0.08737024],[-0.38888889],[-0.05882353],999
38,[-0.40138408],[ 0.02051984],[-0.17647059],[-0.39619377],[ 0.07082833],[-0.23529412],[-0.44463668],[-0.23529412],[ 0.],999
39,[-0.40051903],[-0.18373984],[ 0.05882353],[-0.42128028],[-0.08451503],[-0.14705882],[-0.40916955],[-0.31707317],[ 0.26470588],999
40,[-0.41349481],[-0.0472973],[-0.11764706],[-0.37370242],[-0.05285285],[-0.23529412],[-0.39965398],[-0.2972973],[ 0.08823529],999
41,[-0.44117647],[-0.04487179],[-0.20588235],[-0.42906574],[ 0.0326087],[-0.26470588],[-0.42906574],[-0.25],[-0.02941176],999
42,[-0.29584775],[ 0.00940071],[-0.29411765],[-0.23010381],[ 0.02801932],[-0.44117647],[-0.26470588],[-0.26086957],[-0.05882353],999
43,[-0.47058824],[-0.03684211],[ 0.],[-0.53633218],[-0.03333333],[-0.14705882],[-0.5467128],[-0.3],[ 0.14705882],999
44,[-0.32785467],[-0.02582496],[-0.17647059],[-0.32785467],[-0.0175219],[-0.29411765],[-0.31055363],[-0.29411765],[-0.05882353],999
45,[-0.42041522],[-0.13032581],[-0.23529412],[-0.42041522],[-0.07953216],[-0.23529412],[-0.4083045],[-0.36842105],[ 0.02941176],999
46,[-0.42214533],[-0.09625668],[-0.32352941],[-0.43252595],[-0.03186275],[-0.32352941],[-0.42560554],[-0.32352941],[-0.14705882],999
47,[-0.40051903],[-0.13195548],[-0.20588235],[-0.38321799],[-0.10364146],[-0.29411765],[-0.40743945],[-0.29411765],[ 0.02941176],999
48,[-0.2967128],[-0.09625323],[-0.26470588],[-0.27595156],[-0.07828283],[-0.26470588],[-0.2949827],[-0.30555556],[ 0.02941176],999
49,[-0.35986159],[-0.02025506],[-0.26470588],[-0.37543253],[-0.00258065],[-0.38235294],[-0.38927336],[-0.32258065],[-0.08823529],999
50,[-0.39359862],[-0.13887043],[-0.32352941],[-0.39878893],[-0.09483283],[-0.35294118],[-0.3884083],[-0.37142857],[-0.05882353],999
51,[-0.29584775],[ 0.03972125],[-0.08823529],[-0.26989619],[ 0.03809524],[-0.17647059],[-0.29238754],[-0.22857143],[ 0.02941176],999
52,[-0.43252595],[-0.09932432],[-0.17647059],[-0.38581315],[-0.04772858],[-0.26470588],[-0.38235294],[-0.32432432],[ 0.02941176],999
53,[-0.37889273],[-0.07026144],[-0.11764706],[-0.37543253],[ 0.00196078],[-0.23529412],[-0.33564014],[-0.26470588],[ 0.08823529],999
54,[-0.46453287],[-0.06859756],[-0.26470588],[-0.49048443],[-0.04583333],[-0.32352941],[-0.47145329],[-0.3125],[-0.08823529],999
55,[-0.24480969],[-0.11786787],[-0.14705882],[-0.21885813],[-0.07539683],[-0.20588235],[-0.26557093],[-0.36111111],[-0.02941176],999
56,[-0.3399654],[-0.06220096],[-0.17647059],[-0.35380623],[-0.00606061],[-0.26470588],[-0.36245675],[-0.27272727],[-0.05882353],999
57,[-0.48615917],[-0.0247083],[-0.35294118],[-0.46885813],[-0.01008065],[-0.35294118],[-0.46193772],[-0.32258065],[-0.14705882],999
58,[-0.34861592],[-0.06428571],[-0.26470588],[-0.30882353],[-0.05341615],[-0.29411765],[-0.32785467],[-0.31428571],[-0.14705882],999
59,[-0.31574394],[-0.14363144],[-0.05882353],[-0.36591696],[-0.08925791],[-0.23529412],[-0.35553633],[-0.36585366],[ 0.11764706],999
60,[-0.4100346],[-0.04341737],[-0.20588235],[-0.3633218],[-0.02641056],[-0.32352941],[-0.42214533],[-0.35294118],[-0.08823529],999
61,[-0.37283737],[ 0.00278746],[-0.11764706],[-0.37456747],[-0.00816327],[-0.29411765],[-0.42301038],[-0.31428571],[ 0.05882353],999
62,[-0.23615917],[-0.1734143],[-0.17647059],[-0.23096886],[-0.14358974],[-0.29411765],[-0.26730104],[-0.41025641],[-0.08823529],999
63,[-0.62975779],[-0.11889401],[-0.20588235],[-0.59688581],[-0.07603687],[-0.32352941],[-0.60553633],[-0.29032258],[ 0.05882353],999
64,[-0.3416955],[-0.05426357],[-0.20588235],[-0.32785467],[-0.05673759],[-0.29411765],[-0.36937716],[-0.33333333],[ 0.02941176],999
65,[-0.26903114],[-0.12390029],[-0.38235294],[-0.20847751],[-0.1214825],[-0.44117647],[-0.24134948],[-0.41935484],[-0.17647059],999
66,[-0.4100346],[-0.06725146],[-0.11764706],[-0.39273356],[-0.00118203],[-0.23529412],[-0.43079585],[-0.27777778],[ 0.02941176],999
67,[-0.27595156],[-0.05453087],[-0.35294118],[-0.25692042],[-0.03374908],[-0.41176471],[-0.24480969],[-0.31034483],[-0.08823529],999
68,[-0.43685121],[-0.1021021],[-0.08823529],[-0.42820069],[-0.04171563],[-0.23529412],[-0.45415225],[-0.32432432],[ 0.08823529],999
69,[-0.39619377],[-0.1],[-0.20588235],[-0.38062284],[-0.03809524],[-0.29411765],[-0.37370242],[-0.3],[ 0.05882353],999
70,[-0.37543253],[-0.09276018],[-0.20588235],[-0.3633218],[-0.09097127],[-0.29411765],[-0.36678201],[-0.32352941],[ 0.],999
71,[-0.3884083],[-0.13322368],[-0.26470588],[-0.36072664],[-0.07708333],[-0.35294118],[-0.40224913],[-0.34375],[-0.11764706],999
72,[-0.48183391],[-0.18235294],[-0.32352941],[-0.45761246],[-0.13235294],[-0.35294118],[-0.48356401],[-0.38235294],[-0.32352941],999
73,[-0.5],[-0.16209677],[-0.35294118],[-0.47404844],[-0.15982405],[-0.44117647],[-0.48615917],[-0.38709677],[-0.23529412],999
74,[-0.20847751],[-0.07692308],[-0.08823529],[-0.22577855],[-0.09810479],[-0.26470588],[-0.2032872],[-0.35897436],[ 0.17647059],999
75,[-0.36591696],[-0.19012116],[-0.35294118],[-0.35553633],[-0.17000802],[-0.47058824],[-0.39013841],[-0.37931034],[-0.14705882],999
76,[-0.48702422],[ 0.00384025],[-0.23529412],[-0.45415225],[ 0.02454418],[-0.29411765],[-0.47491349],[-0.25806452],[-0.11764706],999
77,[-0.4766436],[-0.12982456],[-0.29411765],[-0.46280277],[-0.1],[-0.41176471],[-0.46107266],[-0.36666667],[-0.11764706],999
78,[-0.40657439],[-0.09281843],[-0.20588235],[-0.40484429],[-0.06944444],[-0.32352941],[-0.37024221],[-0.36111111],[ 0.05882353],999
79,[-0.48702422],[-0.01532258],[-0.20588235],[-0.47491349],[ 0.03620803],[-0.32352941],[-0.49048443],[-0.29032258],[-0.08823529],999
80,[-0.27595156],[-0.13597973],[-0.23529412],[-0.26557093],[-0.12718023],[-0.35294118],[-0.27076125],[-0.40625],[-0.11764706],999
81,[-0.42474048],[-0.03830369],[-0.23529412],[-0.37802768],[-0.00245098],[-0.29411765],[-0.43685121],[-0.29411765],[-0.11764706],999
82,[-0.42906574],[-0.08943089],[-0.26470588],[-0.42733564],[-0.06666667],[-0.32352941],[-0.42906574],[-0.33333333],[-0.08823529],999
83,[-0.28373702],[-0.13458647],[-0.20588235],[-0.30276817],[-0.13887043],[-0.32352941],[-0.30795848],[-0.37142857],[ 0.05882353],999
84,[-0.36418685],[-0.22119488],[-0.26470588],[-0.33477509],[-0.17813268],[-0.35294118],[-0.38148789],[-0.40540541],[-0.02941176],999
85,[-0.35380623],[-0.12280702],[-0.29411765],[-0.37456747],[-0.06666667],[-0.38235294],[-0.36764706],[-0.33333333],[-0.17647059],999
86,[-0.4550173],[-0.13757116],[-0.20588235],[-0.4532872],[-0.01152074],[-0.26470588],[-0.4567474],[-0.22580645],[ 0.05882353],999
87,[-0.4783737],[-0.07017544],[-0.23529412],[-0.47491349],[-0.05673759],[-0.41176471],[-0.4766436],[-0.33333333],[-0.08823529],999
88,[-0.39878893],[-0.09852941],[-0.23529412],[-0.37629758],[-0.07352941],[-0.29411765],[-0.39532872],[-0.32352941],[-0.05882353],999
89,[-0.53806228],[-0.10150376],[-0.20588235],[-0.51038062],[-0.04912281],[-0.20588235],[-0.4982699],[-0.31578947],[ 0.05882353],999
90,[-0.55363322],[-0.17816092],[-0.32352941],[-0.52422145],[-0.11755486],[-0.44117647],[-0.56574394],[-0.34482759],[-0.14705882],999
91,[-0.33217993],[-0.03223443],[-0.11764706],[-0.29930796],[-0.04761905],[-0.26470588],[-0.30103806],[-0.31428571],[ 0.14705882],999
92,[-0.48529412],[-0.1025641],[-0.17647059],[-0.45588235],[-0.05673759],[-0.29411765],[-0.48183391],[-0.33333333],[-0.02941176],999
93,[-0.3866782],[-0.15311005],[-0.26470588],[-0.37975779],[-0.07474747],[-0.32352941],[-0.40916955],[-0.36363636],[-0.14705882],999
94,[-0.37197232],[-0.10690789],[-0.23529412],[-0.31487889],[-0.10565476],[-0.32352941],[-0.35813149],[-0.34375],[-0.08823529],999
95,[-0.34602076],[-0.06060606],[-0.23529412],[-0.3615917],[-0.05673759],[-0.29411765],[-0.34429066],[-0.33333333],[ 0.02941176],999
96,[-0.32439446],[-0.00809717],[-0.02941176],[-0.33477509],[-0.00328947],[-0.20588235],[-0.35034602],[-0.31578947],[ 0.08823529],999
97,[-0.50519031],[-0.08654603],[-0.29411765],[-0.5],[-0.07223001],[-0.38235294],[-0.51211073],[-0.35483871],[-0.08823529],999
98,[-0.39359862],[-0.14385965],[-0.29411765],[-0.4783737],[-0.18333333],[-0.47058824],[-0.46972318],[-0.43333333],[-0.08823529],999
99,[-0.34948097],[-0.03521595],[-0.20588235],[-0.36851211],[-0.02261905],[-0.29411765],[-0.3633218],[-0.31428571],[-0.02941176],999
100,[-0.50692042],[-0.11363636],[-0.26470588],[-0.52595156],[-0.10782241],[-0.32352941],[-0.56228374],[-0.36363636],[ 0.],999
101,[-0.41608997],[-0.07692308],[-0.14705882],[-0.44377163],[-0.04166667],[-0.29411765],[-0.45761246],[-0.33333333],[-0.02941176],999
102,[-0.45847751],[-0.13333333],[-0.35294118],[-0.47231834],[-0.10606061],[-0.41176471],[-0.47923875],[-0.33333333],[-0.20588235],999
103,[-0.38321799],[-0.12753378],[-0.23529412],[-0.33823529],[-0.06715426],[-0.38235294],[-0.38148789],[-0.34375],[ 0.],999
104,[-0.32525952],[-0.08170732],[-0.11764706],[-0.33910035],[-0.07727273],[-0.17647059],[-0.33910035],[-0.35],[ 0.],999
105,[-0.43771626],[-0.03588517],[-0.14705882],[-0.47231834],[-0.02828283],[-0.29411765],[-0.46712803],[-0.27272727],[ 0.],999
106,[-0.48529412],[-0.11973392],[-0.29411765],[-0.48702422],[-0.08102767],[-0.35294118],[-0.50778547],[-0.36363636],[-0.17647059],999
107,[-0.39619377],[-0.13339146],[-0.26470588],[-0.43425606],[-0.10829493],[-0.35294118],[-0.43252595],[-0.32258065],[ 0.],999
108,[-0.36764706],[-0.09207317],[-0.08823529],[-0.37802768],[-0.05620361],[-0.17647059],[-0.36072664],[-0.31707317],[ 0.14705882],999
109,[-0.46539792],[-0.20238095],[-0.35294118],[-0.44117647],[-0.15],[-0.35294118],[-0.4550173],[-0.41666667],[-0.14705882],999
110,[-0.62024221],[-0.11904762],[-0.26470588],[-0.6150519],[-0.12403101],[-0.29411765],[-0.63235294],[-0.33333333],[-0.08823529],999
111,[-0.2517301],[-0.03743316],[-0.05882353],[-0.19636678],[ 0.00634249],[-0.20588235],[-0.21885813],[-0.27272727],[ 0.14705882],999
112,[-0.42733564],[-0.08636977],[-0.11764706],[-0.40138408],[-0.08581236],[-0.26470588],[-0.44636678],[-0.36842105],[ 0.08823529],999
113,[-0.37456747],[-0.06666667],[-0.26470588],[-0.37975779],[-0.04166667],[-0.29411765],[-0.36245675],[-0.33333333],[-0.05882353],999
114,[-0.36418685],[-0.04509284],[-0.26470588],[-0.39013841],[-0.03141762],[-0.38235294],[-0.39186851],[-0.27586207],[-0.02941176],999
115,[-0.39532872],[-0.11630037],[-0.35294118],[-0.39878893],[-0.08887043],[-0.41176471],[-0.40051903],[-0.32142857],[-0.20588235],999
116,[-0.41435986],[-0.06220096],[-0.17647059],[-0.3849481],[ 0.03977273],[-0.26470588],[-0.41782007],[-0.27272727],[-0.08823529],999
117,[-0.42214533],[-0.20512821],[-0.23529412],[-0.42041522],[-0.15205725],[-0.26470588],[-0.41868512],[-0.38461538],[ 0.],999
118,[-0.35640138],[-0.09281843],[-0.20588235],[-0.39100346],[-0.05676329],[-0.26470588],[-0.41176471],[-0.36111111],[-0.05882353],999
119,[-0.41695502],[-0.04578755],[-0.11764706],[-0.39965398],[-0.03496503],[-0.14705882],[-0.42214533],[-0.30769231],[ 0.08823529],999
120,[-0.32525952],[-0.16554622],[-0.14705882],[-0.32352941],[-0.13333333],[-0.29411765],[-0.33737024],[-0.37142857],[ 0.05882353],999
121,[-0.39792388],[-0.025],[-0.11764706],[-0.38581315],[ 0.00581395],[-0.14705882],[-0.41176471],[-0.25],[ 0.],999
122,[-0.43685121],[-0.16923077],[-0.26470588],[-0.45242215],[-0.12340426],[-0.38235294],[-0.45934256],[-0.4],[-0.11764706],999
123,[-0.37370242],[-0.03947368],[-0.17647059],[-0.37543253],[-0.04069767],[-0.29411765],[-0.38927336],[-0.25],[-0.05882353],999
124,[-0.39965398],[-0.14801865],[-0.29411765],[-0.41349481],[-0.14102564],[-0.44117647],[-0.42041522],[-0.26923077],[-0.17647059],999
125,[-0.37629758],[-0.13931889],[-0.23529412],[-0.41608997],[-0.06265985],[-0.32352941],[-0.3884083],[-0.32352941],[ 0.05882353],999
126,[-0.34342561],[-0.11893939],[-0.26470588],[-0.31055363],[-0.1113307],[-0.38235294],[-0.33477509],[-0.39393939],[-0.02941176],999
127,[-0.32785467],[-0.08681409],[-0.17647059],[-0.40570934],[-0.0530303],[-0.29411765],[-0.3866782],[-0.3030303],[ 0.05882353],999
128,[-0.42906574],[-0.13398693],[-0.17647059],[-0.37716263],[-0.15089514],[-0.41176471],[-0.40311419],[-0.41176471],[ 0.],999
129,[-0.42387543],[-0.17142857],[-0.17647059],[-0.4083045],[-0.12334495],[-0.26470588],[-0.43425606],[-0.34285714],[-0.05882353],999
130,[-0.48096886],[-0.15384615],[-0.17647059],[-0.47231834],[-0.07246377],[-0.23529412],[-0.48096886],[-0.33333333],[ 0.02941176],999
131,[-0.48615917],[-0.07857143],[-0.23529412],[-0.4100346],[ 0.01829268],[-0.26470588],[-0.46193772],[-0.25],[-0.14705882],999
132,[-0.38062284],[-0.02564103],[-0.29411765],[-0.34948097],[-0.02862254],[-0.38235294],[-0.37543253],[-0.30769231],[-0.23529412],999
133,[-0.31920415],[-0.00197759],[-0.08823529],[-0.28979239],[ 0.06306306],[-0.14705882],[-0.31574394],[-0.27027027],[ 0.17647059],999
134,[-0.28460208],[-0.00350877],[-0.17647059],[-0.2932526],[ 0.00606061],[-0.29411765],[-0.25346021],[-0.26666667],[ 0.08823529],999
135,[-0.43858131],[-0.02756892],[-0.11764706],[-0.39186851],[ 0.00219298],[-0.20588235],[-0.40397924],[-0.28947368],[ 0.08823529],999
136,[-0.21280277],[-0.03603604],[-0.11764706],[-0.16782007],[-0.04166667],[-0.35294118],[-0.24221453],[-0.33333333],[-0.02941176],999
137,[-0.43425606],[-0.13342898],[-0.29411765],[-0.44290657],[-0.09207161],[-0.35294118],[-0.42387543],[-0.35294118],[-0.05882353],999
138,[-0.35467128],[-0.01315789],[-0.05882353],[-0.39619377],[-0.03588517],[-0.17647059],[-0.37197232],[-0.26315789],[ 0.02941176],999
139,[-0.41349481],[-0.12605042],[-0.29411765],[-0.39965398],[-0.10741688],[-0.35294118],[-0.39619377],[-0.41176471],[-0.20588235],999
140,[-0.45588235],[-0.13513514],[-0.14705882],[-0.46280277],[-0.10690691],[-0.29411765],[-0.46972318],[-0.35135135],[-0.08823529],999
141,[-0.48875433],[-0.19393939],[-0.35294118],[-0.49567474],[-0.12727273],[-0.38235294],[-0.50951557],[-0.39393939],[-0.14705882],999
142,[-0.4982699],[-0.11208791],[-0.20588235],[-0.51903114],[-0.02370821],[-0.26470588],[-0.52768166],[-0.34285714],[-0.05882353],999
143,[-0.3884083],[-0.173454],[-0.29411765],[-0.36591696],[-0.12566845],[-0.35294118],[-0.39359862],[-0.35294118],[-0.14705882],999
144,[-0.37629758],[-0.00322997],[-0.14705882],[-0.35553633],[-0.02294686],[-0.23529412],[-0.39705882],[-0.30555556],[ 0.02941176],999
145,[-0.2967128],[-0.0437276],[-0.32352941],[-0.2067474],[-0.03483871],[-0.41176471],[-0.22404844],[-0.35483871],[-0.05882353],999
146,[-0.37197232],[-0.09939148],[-0.20588235],[-0.41522491],[-0.03776683],[-0.32352941],[-0.42214533],[-0.27586207],[-0.08823529],999
147,[-0.42820069],[-0.23783784],[-0.38235294],[-0.37283737],[-0.16744186],[-0.44117647],[-0.42128028],[-0.4],[-0.17647059],999
148,[-0.47750865],[-0.16315789],[-0.32352941],[-0.48442907],[-0.18571429],[-0.44117647],[-0.47577855],[-0.4],[-0.17647059],999
149,[-0.30882353],[-0.01918159],[-0.26470588],[-0.34342561],[-0.01102941],[-0.29411765],[-0.35207612],[-0.32352941],[-0.05882353],999
150,[-0.51124567],[-0.11578947],[-0.17647059],[-0.51643599],[-0.05491991],[-0.23529412],[-0.54238754],[-0.31578947],[ 0.05882353],999
151,[-0.27941176],[-0.15930736],[-0.11764706],[-0.21885813],[-0.12752613],[-0.26470588],[-0.26730104],[-0.37142857],[ 0.08823529],999
152,[-0.47145329],[-0.12820513],[-0.26470588],[-0.40570934],[-0.08333333],[-0.32352941],[-0.45069204],[-0.33333333],[-0.14705882],999
153,[-0.37802768],[-0.07545732],[-0.26470588],[-0.33823529],[-0.08288043],[-0.38235294],[-0.35034602],[-0.34375],[-0.08823529],999
154,[-0.32785467],[-0.12815126],[-0.23529412],[-0.3399654],[-0.1547619],[-0.44117647],[-0.32093426],[-0.39285714],[-0.05882353],999
155,[-0.39013841],[-0.13752914],[-0.26470588],[-0.40051903],[-0.1113307],[-0.38235294],[-0.36418685],[-0.39393939],[-0.02941176],999
156,[-0.21280277],[-0.06949807],[-0.11764706],[-0.20242215],[ 0.02539683],[-0.17647059],[-0.2266436],[-0.28571429],[ 0.05882353],999
157,[-0.31141869],[-0.06504065],[-0.23529412],[-0.29930796],[-0.01333333],[-0.35294118],[-0.32871972],[-0.33333333],[-0.17647059],999
158,[-0.43252595],[-0.13458647],[-0.20588235],[-0.42906574],[-0.12142857],[-0.32352941],[-0.43598616],[-0.37142857],[-0.02941176],999
159,[-0.44204152],[-0.18393393],[-0.17647059],[-0.44896194],[-0.08948949],[-0.26470588],[-0.45415225],[-0.37837838],[-0.02941176],999
160,[-0.42301038],[-0.06407323],[-0.23529412],[-0.42128028],[-0.0622986],[-0.29411765],[-0.44550173],[-0.36842105],[-0.05882353],999
161,[-0.32612457],[-0.07509158],[-0.29411765],[-0.31920415],[-0.06825397],[-0.41176471],[-0.32785467],[-0.35714286],[-0.08823529],999
162,[-0.3866782],[-0.175],[-0.29411765],[-0.37456747],[-0.10833333],[-0.38235294],[-0.39878893],[-0.4],[-0.17647059],999
163,[-0.3399654],[-0.03306343],[-0.05882353],[-0.35034602],[-0.03947368],[-0.17647059],[-0.35207612],[-0.28947368],[ 0.08823529],999
164,[-0.32785467],[-0.06871345],[-0.11764706],[-0.34688581],[-0.03282828],[-0.20588235],[-0.34342561],[-0.30555556],[ 0.02941176],999
165,[-0.38408304],[-0.08874459],[-0.29411765],[-0.39965398],[-0.05858586],[-0.32352941],[-0.39100346],[-0.3030303],[-0.05882353],999
166,[-0.34948097],[-0.11919505],[-0.20588235],[-0.33910035],[-0.09974425],[-0.35294118],[-0.3615917],[-0.38235294],[-0.02941176],999
167,[-0.47750865],[-0.1037594],[-0.17647059],[-0.46712803],[-0.08172757],[-0.26470588],[-0.48096886],[-0.31428571],[ 0.02941176],999
168,[-0.47058824],[-0.12635135],[-0.20588235],[-0.49134948],[-0.10690691],[-0.29411765],[-0.47231834],[-0.35135135],[-0.11764706],999
169,[-0.32698962],[-0.10845588],[-0.14705882],[-0.35986159],[-0.09375],[-0.35294118],[-0.33391003],[-0.34375],[ 0.],999
170,[-0.43079585],[-0.07188703],[-0.14705882],[-0.44636678],[-0.03318078],[-0.20588235],[-0.44117647],[-0.31578947],[ 0.05882353],999
171,[-0.35553633],[-0.06912879],[-0.08823529],[-0.32093426],[-0.03734756],[-0.23529412],[-0.3416955],[-0.28125],[ 0.08823529],999
172,[-0.39965398],[-0.11919612],[-0.17647059],[-0.39100346],[-0.06345476],[-0.26470588],[-0.39619377],[-0.32432432],[-0.05882353],999
173,[-0.52941176],[-0.13107822],[-0.35294118],[-0.4982699],[-0.05113636],[-0.35294118],[-0.51038062],[-0.36363636],[-0.26470588],999
174,[-0.51384083],[-0.02777778],[-0.20588235],[-0.43598616],[ 0.02834467],[-0.23529412],[-0.49134948],[-0.27777778],[ 0.],999
175,[-0.38062284],[-0.06215578],[-0.26470588],[-0.33564014],[-0.08817204],[-0.38235294],[-0.32871972],[-0.35483871],[ 0.02941176],999
176,[-0.50865052],[-0.14715447],[-0.38235294],[-0.47923875],[-0.11666667],[-0.41176471],[-0.48615917],[-0.36666667],[-0.17647059],999
177,[-0.47145329],[-0.10150376],[-0.20588235],[-0.48529412],[-0.07134503],[-0.23529412],[-0.49394464],[-0.31578947],[ 0.02941176],999
178,[-0.38408304],[-0.01315789],[-0.14705882],[-0.38235294],[ 0.01666667],[-0.26470588],[-0.39273356],[-0.25],[ 0.05882353],999
179,[-0.55190311],[-0.07692308],[-0.20588235],[-0.51384083],[-0.05673759],[-0.35294118],[-0.56574394],[-0.33333333],[ 0.02941176],999
180,[-0.37283737],[-0.14375],[-0.32352941],[-0.35034602],[-0.04587766],[-0.35294118],[-0.33823529],[-0.34375],[-0.05882353],999
181,[-0.37802768],[-0.1030303],[-0.14705882],[-0.37802768],[-0.07575758],[-0.32352941],[-0.37629758],[-0.3030303],[-0.02941176],999
182,[-0.28633218],[ 0.02255109],[-0.17647059],[-0.30017301],[ 0.00808081],[-0.23529412],[-0.30363322],[-0.3030303],[ 0.],999
